doc_idx,chunk_idx,Entity,Type,Description
0,0,VOLKER MAHNKE,PERSON,Volker Mahnke is a researcher who published a paper on knowledge management in 2003
0,0,TORBEN PEDERSEN,PERSON,Torben Pedersen is a researcher who published a paper on knowledge management in 2003
0,0,MARKUS VENZIN,PERSON,Markus Venzin is a researcher who published a paper on knowledge management in 2003
0,0,CBS RESEARCH PORTAL,ORGANIZATION,CBS Research Portal is a platform where research papers are published
0,0,CBS,ORGANIZATION,CBS is an institution that hosts the CBS Research Portal
0,1,VOLKER MAHNKE,PERSON,Author of the working paper
0,1,TORBEN PEDERSEN,PERSON,Author of the working paper
0,1,MARKUS VENZIN,PERSON,Author of the working paper
0,1,INSTITUT FOR INFORMATIK,ORGANIZATION,Department of Informatics at the Copenhagen Business School
0,1,HANDELSHØJSKOLEN,ORGANIZATION,Copenhagen Business School
0,1,DENMARK,GEO,Country where the Copenhagen Business School is located
0,1,FREDERIKSBERG,GEO,City where the Copenhagen Business School is located
0,1,KØBENHAVN,GEO,City where the Copenhagen Business School is located
0,2,VOLKER MAHNKE,PERSON,Associate Professor at Copenhagen Business School
0,2,TORBEN PEDERSEN,PERSON,Professor at Copenhagen Business School
0,2,MARKUS VENZIN,PERSON,Researcher or professor at Copenhagen Business School
0,2,COPENHAGEN BUSINESS SCHOOL,ORGANIZATION,"Business school where Volker Mahnke, Torben Pedersen, and Markus Venzin work"
0,2,DENMARK,GEO,Country where Copenhagen Business School is located
0,3,COPENHAGEN BUSINESS SCHOOL,ORGANIZATION,Copenhagen Business School is an educational institution located in Denmark
0,3,DENMARK,GEO,Denmark is a country where Copenhagen Business School is located
0,3,MARKUS VENZIN,PERSON,Markus Venzin is an Assistant Professor at Copenhagen Business School
0,4,BOCCONI UNIVERSITY,ORGANIZATION,"Bocconi University is an institution located in Milano, Italy"
0,4,ITALY,GEO,Italy is the country where Bocconi University is located
0,4,MILANO,GEO,Milano is the city where Bocconi University is located
0,4,M VENZIN,PERSON,M Venzin is a person affiliated with Bocconi University
0,5,MNC,ORGANIZATION,"MNC refers to a multinational corporation, which is a company that operates in multiple countries"
0,6,EUROPEAN UNION,ORGANIZATION,The European Union is an organization that has imposed sanctions on several Russian and Belarusian individuals and entities
0,6,RUSSIAN DIRECT INVESTMENT FUND,ORGANIZATION,"The Russian Direct Investment Fund is a sovereign wealth fund of the Russian Federation with investments in several companies, including Gazprom"
0,6,BELARUSIAN POTASH COMPANY,ORGANIZATION,"The Belarusian Potash Company is a state-owned company in Belarus with partnerships with several companies, including Uralkali"
0,6,GAZPROM,ORGANIZATION,Gazprom is a Russian energy company with investments from the Russian Direct Investment Fund
0,6,URALKALI,ORGANIZATION,Uralkali is a Russian fertilizer company with partnerships with the Belarusian Potash Company
0,6,RUSSIA,GEO,Russia is a country whose actions in Ukraine have led to EU sanctions
0,6,BELARUS,GEO,Belarus is a country whose support for Russia's actions in Ukraine has led to EU sanctions
0,6,UKRAINE,GEO,Ukraine is a country where Russia's actions have led to EU sanctions on Russia and Belarus
0,7,KNOWLEDGE MANAGEMENT TOOLS,ORGANIZATION,Knowledge management tools are used to improve absorptive capacity and knowledge inflows
0,8,MNC,ORGANIZATION,Multinational Corporation where knowledge flows are studied
0,9,GOOGLE,ORGANIZATION,Google is a technology company
0,9,ALPHABET,ORGANIZATION,Alphabet is the parent company of Google
0,9,LARRY PAGE,PERSON,Larry Page is the co-founder of Google
0,9,CALIFORNIA,GEO,California is the state where Google is headquartered
0,10,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a German MNC that applied knowledge management tools in subsidiaries to improve business performance
0,10,GERMANY,GEO,Country where Heidelberger Cement is based
0,11,COMMUNITIES OF PRACTICE,ORGANIZATION,Communities of practice are a type of knowledge management tool
0,11,CORPORATE UNIVERSITY,ORGANIZATION,Corporate university is a type of knowledge management tool
0,11,GROUP BENCHMARKING REPORT,ORGANIZATION,Group benchmarking report is a type of knowledge management tool
0,11,LEARNING SYSTEM,ORGANIZATION,Learning system is a type of knowledge management tool
0,11,REWARD SYSTEMS,ORGANIZATION,Reward systems are a type of knowledge management tool
0,12,SUBSIDIARY,ORGANIZATION,A subsidiary is an organization that is owned or controlled by another company
0,13,FACEBOOK,ORGANIZATION,Facebook's CEO Mark Zuckerberg testified before Congress
0,13,MARK ZUCKERBERG,PERSON,Mark Zuckerberg is the CEO of Facebook who testified before Congress
0,13,CONGRESS,ORGANIZATION,Congress is the legislative body where Mark Zuckerberg testified
0,14,KNOWLEDGE MANAGEMENT TOOLS,ORGANIZATION,Knowledge management tools are used to predict absorptive capacity and knowledge inflow
0,14,MANAGERIAL DISCRETION,ORGANIZATION,Managerial discretion is used in the development of a unit’s absorptive capacity
0,14,ABSORPTIVE CAPACITY,ORGANIZATION,Absorptive capacity is an endogenous variable that predicts knowledge inflow and business performance
0,14,BUSINESS PERFORMANCE,ORGANIZATION,Business performance is predicted by knowledge inflow on a subsidiary level
0,15,"UNIVERSITY OF CALIFORNIA, BERKELEY",ORGANIZATION,"A public research university located in Berkeley, California, known for academic excellence and research opportunities"
0,15,BERKELEY,GEO,"A city in California where the University of California, Berkeley is located"
0,15,CALIFORNIA,GEO,"A state in the United States where the University of California, Berkeley is located"
0,15,STEVE JOBS,PERSON,"A successful alumnus of the University of California, Berkeley, who co-founded Apple"
0,15,APPLE,ORGANIZATION,A company co-founded by Steve Jobs
0,16,MNC,ORGANIZATION,A modern multinational corporation with subsidiaries and knowledge flows
0,16,BARTLETT,PERSON,Author who discussed the importance of knowledge flows between subsidiaries for MNC performance
0,16,GHOSHAL,PERSON,Author who discussed the importance of knowledge flows between subsidiaries for MNC performance
0,16,GUPTA,PERSON,Author who discussed the importance of knowledge flows between subsidiaries for MNC performance
0,16,GOVINDARAJAN,PERSON,Author who discussed the importance of knowledge flows between subsidiaries for MNC performance
0,17,LYLES,PERSON,Lyles is a researcher who studied the effect of antecedence to knowledge sharing and learning in the external relations of the MNC
0,17,SALK,PERSON,Salk is a researcher who studied the effect of antecedence to knowledge sharing and learning in the external relations of the MNC
0,17,LANE,PERSON,Lane is a researcher who studied the effect of antecedence to knowledge sharing and learning in the external relations of the MNC
0,17,LUBATKIN,PERSON,Lubatkin is a researcher who studied the effect of antecedence to knowledge sharing and learning in the external relations of the MNC
0,17,SIMONIN,PERSON,Simonin is a researcher who studied the effect of antecedence to knowledge sharing and learning in the external relations of the MNC
0,17,GUPTA,PERSON,Gupta is a researcher who studied the effect of antecedence to knowledge sharing and learning in the internal relations of the MNC
0,17,GOVINDARAJAN,PERSON,Govindarajan is a researcher who studied the effect of antecedence to knowledge sharing and learning in the internal relations of the MNC
0,17,HANSEN,PERSON,Hansen is a researcher who studied the effect of antecedence to knowledge sharing and learning in the internal relations of the MNC
0,17,HOLM,PERSON,Holm is a researcher who studied the effect of antecedence to knowledge sharing and learning in the internal relations of the MNC
0,17,PEDERSEN,PERSON,Pedersen is a researcher who studied the effect of antecedence to knowledge sharing and learning in the internal relations of the MNC
0,17,MINBAEVA,PERSON,Minbaeva is a researcher who studied the effect of antecedence to knowledge sharing and learning in the internal relations of the MNC
0,18,"UNIVERSITY OF CALIFORNIA, BERKELEY",ORGANIZATION,"A public research university located in Berkeley, California, known for its academic excellence and research opportunities"
0,18,BERKELEY,GEO,"A city in California where the University of California, Berkeley is located"
0,18,CALIFORNIA,GEO,"A state in the United States where the University of California, Berkeley is located"
0,18,STEVE JOBS,PERSON,"The co-founder of Apple and a successful alumnus of the University of California, Berkeley"
0,18,APPLE,ORGANIZATION,A technology company co-founded by Steve Jobs
0,19,ANDERSSON,PERSON,Andersson is a researcher who has studied the relation between knowledge flows and subsidiary performance
0,20,MNC,ORGANIZATION,MNC refers to a multinational corporation
0,21,MNC,ORGANIZATION,"Multinational Corporation, a company that operates in multiple countries"
0,21,GUPTA,PERSON,Author who wrote about knowledge flows in MNCs
0,21,GOVINDARAJAN,PERSON,Author who wrote about knowledge flows in MNCs
0,24,ZAHRA,PERSON,Zahra is a researcher who has written about absorptive capacity
0,24,GEORGE,PERSON,George is a researcher who has written about absorptive capacity
0,25,FOSS,PERSON,Foss is a researcher who has studied absorptive capacity
0,25,PEDERSEN,PERSON,Pedersen is a researcher who has studied absorptive capacity
0,25,MINBAEVA,PERSON,Minbaeva is a researcher who has studied absorptive capacity
0,26,KNOWLEDGE MANAGEMENT TOOLS,ORGANIZATION,Knowledge management tools are used to influence absorptive capacity and knowledge inflows and subsidiary performance
0,27,CEO,PERSON,The CEO is the chief executive officer of an organization
0,28,ORGANIZATION,ORGANIZATION,The organization is an entity with homogeneous perceptions on knowledge processes
0,29,INDIVIDUAL,PERSON,"Individuals are the subjects of the data-set, providing perceptions of knowledge management tools, motivation, ability, knowledge inflows and subsidiary performance"
0,30,SUBSIDIARY,ORGANIZATION,A subsidiary is a company whose majority of shares is held by another company
0,31,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a multinational corporation that is the subject of a study on knowledge inflows and absorptive capacity
0,31,COHEN,PERSON,Cohen is a researcher who has studied absorptive capacity and knowledge inflows
0,31,LEVINTHAL,PERSON,Levinthal is a researcher who has studied absorptive capacity and knowledge inflows
0,34,MNC,ORGANIZATION,MNC refers to a multinational corporation
0,36,SUBSIDIARY,ORGANIZATION,Subsidiary is an organization with employees that deal with knowledge inflows
0,37,ABSORPTIVE CAPACITY,CONCEPT,Absorptive capacity is a concept that enables knowledge inflows
0,38,SUBSIDIARY,ORGANIZATION,"A subsidiary is a company that is owned or controlled by another company, often referred to as the parent company or holding company"
0,39,JOHN SMITH,PERSON,John Smith is a researcher
0,39,HARVARD UNIVERSITY,ORGANIZATION,Harvard University is the institution where John Smith works
0,39,CAMBRIDGE,GEO,Cambridge is the location of Harvard University
0,39,MASSACHUSETTS,GEO,Massachusetts is the state where Cambridge is located
0,41,COHEN,PERSON,Cohen is a researcher who wrote about absorptive capacity in 1990
0,41,LEVINTHAL,PERSON,Levinthal is a researcher who wrote about absorptive capacity in 1990
0,42,LANE,PERSON,Lane is a researcher who extended their own work in 1998 with Salk
0,42,LUBATKIN,PERSON,Lubatkin is a researcher who worked with Lane in 1998
0,42,SALK,PERSON,Salk is a researcher who worked with Lane to extend their own work in 1998
0,43,LYLES,PERSON,Author of a study on knowledge acquisition in international joint ventures
0,44,ZAHRA,PERSON,Zahra is a researcher who co-authored a study in 2002
0,44,GEORGE,PERSON,George is a researcher who co-authored a study in 2002
0,45,MNC,ORGANIZATION,Multinational Corporation that utilizes knowledge from external relations and subsidiaries
0,46,ORGANIZATION,ORGANIZATION,The organization is the entity that receives and utilizes external knowledge
0,46,PERSON,PERSON,The person is the individual who is part of the organization and is involved in the knowledge absorption process
0,46,GEO,GEO,"The geographic location is not explicitly mentioned in the text, but it could refer to the location of the organization or the person"
0,47,MINBAEVA,PERSON,Minbaeva is a researcher who studied absorptive capacity in subsidiaries
0,47,IBM,ORGANIZATION,IBM is a company that benefits from internal knowledge flows
0,47,MICROSOFT,ORGANIZATION,Microsoft is a company that benefits from internal knowledge flows
0,47,NEW YORK,GEO,New York is a city where companies like IBM and Microsoft operate
0,47,LONDON,GEO,London is a city where companies like IBM and Microsoft operate
0,48,SUBSIDIARY,ORGANIZATION,A subsidiary is a company that is owned or controlled by another company
0,48,MARCH,PERSON,March is a researcher who has written about knowledge domains
0,48,LEVINTHAL,PERSON,Levinthal is a researcher who has written about knowledge domains
0,49,GENERAL ELECTRIC,ORGANIZATION,General Electric is a multinational conglomerate
0,49,SCHENECTADY,GEO,Schenectady is a city in New York
0,49,NEW YORK,GEO,New York is a state in the United States
0,49,JOHN SMITH,PERSON,John Smith is the CEO of the company and is married to Jane Doe
0,49,JANE DOE,PERSON,Jane Doe is the wife of John Smith
0,50,MICHAELIVA,PERSON,Michailova is a researcher who studied knowledge-hostility between subsidiaries
0,50,HUSTED,PERSON,Husted is a researcher who studied knowledge-hostility between subsidiaries
0,51,COHEN,PERSON,Cohen is a researcher who studied absorptive capacity in 1990
0,51,LEVINTHAL,PERSON,Levinthal is a researcher who studied absorptive capacity in 1990
0,51,ZAHRA,PERSON,Zahra is a researcher who studied absorptive capacity in 2002
0,51,GEORGE,PERSON,George is a researcher who studied absorptive capacity in 2002
0,52,"UNIVERSITY OF CALIFORNIA, BERKELEY",ORGANIZATION,"A public research university located in Berkeley, California, known for its academic excellence and research opportunities"
0,52,BERKELEY,GEO,"A city in California where the University of California, Berkeley is located"
0,52,CALIFORNIA,GEO,"A state in the United States where the University of California, Berkeley is located"
0,52,COLLEGE OF ENGINEERING,ORGANIZATION,"One of the colleges at the University of California, Berkeley"
0,52,COLLEGE OF NATURAL RESOURCES,ORGANIZATION,"One of the colleges at the University of California, Berkeley"
0,52,GRADUATE SCHOOL OF JOURNALISM,ORGANIZATION,"One of the schools at the University of California, Berkeley"
0,52,APPLE,ORGANIZATION,"A company that emerged from the University of California, Berkeley"
0,52,GOOGLE,ORGANIZATION,"A company that emerged from the University of California, Berkeley"
0,55,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a multinational corporation that employs knowledge management tools to facilitate knowledge sharing among its subsidiaries
0,55,MNC,ORGANIZATION,"MNC refers to a multinational corporation, in this case Heidelberger Cement"
0,56,ARGOTE,PERSON,Author of research on knowledge management
0,56,KROGH,PERSON,Author of research on knowledge management
0,57,MNC,ORGANIZATION,MNC is a company with multiple units where employees can search for knowledge and partners
0,57,MAHNKE,PERSON,Mahnke is a researcher who has written about knowledge management in MNCs
0,57,VENZIN,PERSON,Venzin is a researcher who has written about knowledge management in MNCs
0,57,KAUTZ,PERSON,Kautz is a researcher who has written about knowledge management in MNCs
0,58,PEDERSEN,PERSON,Pedersen is a researcher who studied knowledge search and access
0,59,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a company that deployed an intranet solution to decrease transaction costs of knowledge inflows
0,60,PARIS,GEO,Paris is a city known for its beautiful architecture and rich history
0,60,EIFFEL TOWER,GEO,The Eiffel Tower is a famous landmark located in Paris
0,60,LOUVRE,ORGANIZATION,The Louvre is a famous museum located in Paris
0,60,ORSAY,ORGANIZATION,The Orsay is a famous museum located in Paris
0,61,CORPORATE UNIVERSITY,ORGANIZATION,The corporate university is an organization that enables knowledge sharing through benchmarking reports and learning systems
0,61,LEONARD-BARTON,PERSON,Leonard-Barton is a researcher who has studied knowledge sharing in communities and teams
0,62,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a company that uses communities of practice for knowledge integration and creation
0,62,WENGER,PERSON,Wenger is a researcher who studied knowledge integration and creation in Heidelberger Cement
0,62,SNYDER,PERSON,Snyder is a researcher who studied knowledge integration and creation in Heidelberger Cement
0,63,GRANT,PERSON,Grant is a researcher who wrote about interdisciplinary teams in 1996
0,63,MNC,ORGANIZATION,MNC is a type of organization that has interdisciplinary teams
0,64,KOGUT,PERSON,Kogut is a researcher who studied interactive learning and community communication codes
0,64,ZANDER,PERSON,Zander is a researcher who studied interactive learning and community communication codes
0,64,MONTEVERDE,PERSON,Monteverde is a researcher who studied interactive learning and community communication codes
0,66,OSTERLOH,PERSON,Osterloh is a researcher who studied knowledge sharing across subsidiaries
0,66,FREY,PERSON,Frey is a researcher who studied knowledge sharing across subsidiaries
0,67,COMMUNITY,ORGANIZATION,A group of people working together to share knowledge and enhance involvement and motivations
0,68,BROWN,PERSON,Brown is a researcher who wrote about knowledge development in teams
0,68,DUGUID,PERSON,Duguid is a researcher who wrote about knowledge development in teams
0,68,BOLAND,PERSON,Boland is a researcher who wrote about knowledge development in teams
0,68,TENKASI,PERSON,Tenkasi is a researcher who wrote about knowledge development in teams
0,69,SCHUMPETER,PERSON,Schumpeter is an author who wrote about knowledge creation in 1934
0,69,GALUNIC,PERSON,Galunic is an author who wrote about knowledge creation in 1998
0,69,RODAN,PERSON,Rodan is an author who wrote about knowledge creation in 1998
0,70,COMMUNITIES OF PRACTICE,ORGANIZATION,Communities of practice are groups that influence a subsidiary’s absorptive capacity through increasing the motivation and ability of subsidiary’s employee’s to share knowledge in social interaction
0,71,SUBSIDIARY,ORGANIZATION,A subsidiary is a company that is owned or controlled by another company
0,72,OSTERLOH,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,FREY,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,KROGH,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,WENGER,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,SNYDER,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,BARTLETT,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,GHOSHAL,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,OUCHE,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,73,OUCHI,PERSON,Ouchi is a researcher who wrote about explicit rewards in 1982
0,74,SUBSIDIARY,ORGANIZATION,A subsidiary is an organization that is owned or controlled by a parent company
0,75,SIMONIN,PERSON,Simonin is a researcher who wrote about knowledge-sharing processes in 1999
0,76,OSTERLOH,PERSON,Osterloh is a researcher who studied the effects of explicit rewards on intrinsic motivation
0,76,FREY,PERSON,Frey is a researcher who studied the effects of explicit rewards on intrinsic motivation
0,77,HANSEN,PERSON,Hansen is a researcher who studied knowledge sharing behavior in 1999
0,77,HOLMSTRÖM,PERSON,Holmström is a researcher who studied motivation to engage in complementary activities in 1991
0,77,MILGROM,PERSON,Milgrom is a researcher who studied motivation to engage in complementary activities in 1991
0,79,OUCHI,PERSON,Ouchi is a researcher who studied horizontal knowledge flows between subsidiaries
0,79,OSTERLOH,PERSON,Osterloh is a researcher who studied horizontal knowledge flows between subsidiaries
0,79,FREY,PERSON,Frey is a researcher who studied horizontal knowledge flows between subsidiaries
0,80,SPENCE,PERSON,Spence is a researcher who wrote about signalling in 1972
0,81,EMPLOYEES,PERSON,Employees are individuals who participate in knowledge sharing
0,82,NEW YORK,GEO,City where the company is based and expanding its operations
0,82,JOHN SMITH,PERSON,CEO of the company leading the expansion efforts
0,82,XYZ INC,ORGANIZATION,Larger corporation that owns the company
0,83,FREY,PERSON,Frey is a researcher who studied the effects of rewards on motivation
0,83,FOSS,PERSON,Foss is a researcher who studied the effects of rewards on motivation
0,83,MAHNKE,PERSON,Mahnke is a researcher who studied the effects of rewards on motivation
0,83,LAURSEN,PERSON,Laursen is a researcher who studied the effects of rewards on motivation
0,84,MAHNKE,PERSON,Mahnke is a researcher who studied knowledge sharing
0,84,VENZIN,PERSON,Venzin is a researcher who studied knowledge sharing
0,85,LEARNING SYSTEM,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,COMMUNITIES OF PRACTICE,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,CORPORATE UNIVERSITY,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,BENCHMARKING,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,REWARD-SYSTEMS,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,86,NELSON,PERSON,Nelson is a researcher who wrote about knowledge acquisition and assimilation in 1982
0,86,WINTER,PERSON,Winter is a researcher who wrote about knowledge acquisition and assimilation in 1982
0,86,HEDLUND,PERSON,Hedlund is a researcher who wrote about knowledge acquisition and assimilation in 1994
0,86,SZULANSKI,PERSON,Szulanski is a researcher who wrote about knowledge acquisition and assimilation in 2003
0,87,NEW YORK,GEO,A city that is home to many famous landmarks and diverse neighborhoods
0,87,STATUE OF LIBERTY,GEO,A famous landmark located in New York
0,87,CENTRAL PARK,GEO,A famous landmark located in New York
0,87,MANHATTAN,GEO,A neighborhood in New York
0,87,BROOKLYN,GEO,A neighborhood in New York
0,87,THE NEW YORK TIMES,ORGANIZATION,"A major newspaper published in New York, known for its in-depth reporting and editorial content"
0,87,ERIC ADAMS,PERSON,"The mayor of New York, who is a strong supporter of The New York Times"
0,88,SUBSIDIARY,ORGANIZATION,A subsidiary is a company that is owned or controlled by another company
0,89,HEDLUND,PERSON,Hedlund is a researcher who wrote about knowledge adaptation in 1994
